"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 28 14:58:21 MSK 2024","Tue May 28 14:58:25 MSK 2024","4550","","org.praktikum.testcases.ProfilePageTest","","org.praktikum.testcases.ProfilePageTest","profileCanBeOpened","Открывается страница профиля",""
"passed","Tue May 28 14:57:50 MSK 2024","Tue May 28 14:57:53 MSK 2024","3089","","org.praktikum.testcases.BurgerRegisterPageTest","","org.praktikum.testcases.BurgerRegisterPageTest","testRegister[1]","Регистрация с правильным/неправильным паролем",""
"passed","Tue May 28 14:58:02 MSK 2024","Tue May 28 14:58:08 MSK 2024","6074","","org.praktikum.testcases.ProfileControlsTest","","org.praktikum.testcases.ProfileControlsTest","constructorCanBeOpened","Секция конструктора доступна",""
"passed","Tue May 28 14:57:43 MSK 2024","Tue May 28 14:57:47 MSK 2024","4117","","org.praktikum.testcases.BurgerMainPageTest","","org.praktikum.testcases.BurgerMainPageTest","testLoginPossibleFromMainPage[1]","Проверка входа в систему",""
"passed","Tue May 28 14:58:08 MSK 2024","Tue May 28 14:58:14 MSK 2024","6025","","org.praktikum.testcases.ProfileControlsTest","","org.praktikum.testcases.ProfileControlsTest","mainPageCanBeOpened","Логотип кликабелен и ведет на главную страницу",""
"passed","Tue May 28 14:58:00 MSK 2024","Tue May 28 14:58:02 MSK 2024","2307","","org.praktikum.testcases.MainPageSectionsTest","","org.praktikum.testcases.MainPageSectionsTest","testMainPageSections","Все разделы продуктов доступны на главной странице","Проверка что все разделы продуктов доступны на главной странице"
"passed","Tue May 28 14:57:47 MSK 2024","Tue May 28 14:57:50 MSK 2024","2884","","org.praktikum.testcases.BurgerRegisterPageTest","","org.praktikum.testcases.BurgerRegisterPageTest","testRegister[0]","Регистрация с правильным/неправильным паролем",""
"passed","Tue May 28 14:57:53 MSK 2024","Tue May 28 14:57:56 MSK 2024","3439","","org.praktikum.testcases.LoginFromBurgerRecallPasswordTest","","org.praktikum.testcases.LoginFromBurgerRecallPasswordTest","testLoginPossible","Вход на странице восстановления пароля",""
"passed","Tue May 28 14:57:35 MSK 2024","Tue May 28 14:57:43 MSK 2024","7766","","org.praktikum.testcases.BurgerMainPageTest","","org.praktikum.testcases.BurgerMainPageTest","testLoginPossibleFromMainPage[0]","Проверка входа в систему",""
"passed","Tue May 28 14:58:14 MSK 2024","Tue May 28 14:58:20 MSK 2024","6450","","org.praktikum.testcases.ProfileControlsTest","","org.praktikum.testcases.ProfileControlsTest","logoutPossible","Выход из системы возможен на странице профиля",""
"passed","Tue May 28 14:57:56 MSK 2024","Tue May 28 14:58:00 MSK 2024","3423","","org.praktikum.testcases.LoginFromBurgerRegisterPageTest","","org.praktikum.testcases.LoginFromBurgerRegisterPageTest","testLoginPossible","Вход на странице регистрации",""
